#State,total (1000 km2),land (1000 km2),water (1000 km2),% water
North Carolina,140,130,13,10
Indiana,94,93,1.5,1.6
Wyoming,250,250,1.9,0.70
Northern Mariana Islands (territory),5.1,0.5,4.6,91
Utah,220,210,7.1,3.2
Arizona,300,290,1.0,0.4
Montana,380,380,3.9,1.0
Kentucky,100,100,2.4,2.3
California,420,400,21,4.8
Kansas,210,210,1.3,0.63
Delaware,6.4,5.0,1.4,22
Florida,170,140,31,18
Pennsylvania,120,120,3.4,2.8
United States Virgin Islands (territory),1.9,0.4,1.6,82
Iowa,150,140,1.1,0.74
Mississippi,130,120,3.9,3.1
Illinois,150,140,6.2,4.1
Texas,700,680,19,2.7
Connecticut,14,13,1.8,13
Georgia,150,150,5.0,3.2
Maryland,32,25,7.0,22
Virginia,110,100,8.5,7.7
Idaho,220,210,2.4,1.1
Oregon,250,250,6.2,2.4
Vermont,25,24,1.0,4.2
Puerto Rico (territory),14,8.9,4.9,36
Maine,92,80,12,13
Oklahoma,180,180,3.4,1.9
Tennessee,110,110,2.4,2.2
Guam (territory),1.5,0.5,0.94,63
Alabama,140,130,4.6,3.4
Arkansas,140,130,3.0,2.1
South Carolina,83,78,5.1,6.1
Washington,180,170,13,6.8
Nebraska,200,200,1.4,0.70
West Virginia,63,62,0.5,0.8
Colorado,270,270,1.2,0.4
Massachusetts,27,20,7.1,26
Missouri,180,180,2.5,1.4
Alaska,1700,1500,250,14
American Samoa (territory),1.5,0.2,1.3,87
North Dakota,180,180,4.4,2.4
Wisconsin,170,140,29,17
Nevada,290,280,2.0,0.70
District of Columbia,0.2,0.2,0.019,11
New York,140,120,19,14
Rhode Island,4.0,2.7,1.3,33
Hawaii,28,17,12,41
South Dakota,200,200,3.4,1.7
Minnesota,230,210,19,8.4
New Jersey,23,19,3.5,16
Michigan,250,150,100,42
Minor Outlying Islands (territory),0.041,0.041,0,0
New Mexico,310,310,0.76,0.2
New Hampshire,24,23,1.0,4.2
Louisiana,140,110,24,18
Ohio,120,110,10,8.8
